"Movie","Date","Time","Year","Director","Runtime","Tickets"
"STREET SCENE","Friday, February 6","6:10","1931","King Vidor","80 minutes","https://my.filmforum.org/events/street-scene"
"THE WINDOW","Friday, February 6","8:00","1949","Ted Tetzlaff","73 minutes","https://my.filmforum.org/events/the-window-tene"
"THREE ON A MATCH","Saturday, February 7","12:40","1932","Mervyn LeRoy","63 minutes","https://my.filmforum.org/events/three-on-a-match"
"STREET SCENE","Saturday, February 7","2:10","1931","King Vidor","80 minutes","https://my.filmforum.org/events/street-scene"
"THE WINDOW","Saturday, February 7","4:00","1949","Ted Tetzlaff","73 minutes","https://my.filmforum.org/events/the-window-tene"
"ITALIANAMERICAN","Saturday, February 7","5:40","1974","Martin Scorsese","49 minutes","https://my.filmforum.org/events/italianamerican-tene"
"MEAN STREETS","Saturday, February 7","7:10","1973","Martin Scorsese","112 minutes","https://my.filmforum.org/events/mean-streets-tene"
"HEAVY TRAFFIC","Saturday, February 7","9:40","1973","Ralph Bakshi","79 minutes","https://my.filmforum.org/events/heavy-traffic"
"THE KID","Sunday, February 8","11:00 – FF Jr.","1921","Charlie Chaplin","58 minutes","https://my.filmforum.org/the-kid-ffjr"
"APPLAUSE","Sunday, February 8","1:00","1929","Rouben Mamoulian","80 minutes","https://my.filmforum.org/events/applause-tene"
"TAXI!","Sunday, February 8","2:50","1932","Roy Del Ruth","69 minutes","https://my.filmforum.org/events/taxi"
"THREE ON A MATCH","Sunday, February 8","4:30","1932","Mervyn LeRoy","63 minutes","https://my.filmforum.org/events/three-on-a-match"
"DEAD END","Sunday, February 8","6:00","1937","William Wyler","93 minutes","https://my.filmforum.org/events/dead-end"
"MIXED BLOOD","Sunday, February 8","8:40","1984","Paul Morrissey","98 minutes","https://my.filmforum.org/events/mixed-blood"
"TWO SECONDS","Monday, February 9","6:10","1932","Mervyn LeRoy","68 minutes","https://my.filmforum.org/events/two-seconds"
"HESTER STREET","Monday, February 9","7:50","1975","Joan Micklin Silver","92 minutes","https://my.filmforum.org/events/hester-street-tene"
"THE HEART OF NEW YORK","Tuesday, February 10","6:00","1932","Mervyn LeRoy","73 minutes","https://my.filmforum.org/events/the-heart-of-new-york"
"HUMORESQUE","Tuesday, February 10","7:40","1920","Frank Borzage","60 minutes","https://my.filmforum.org/events/humoresque-tene"
"EL SUPER","Wednesday, February 11","5:50","1979","Leon Ichaso and Orlando Jiménez Leal","90 minutes","https://my.filmforum.org/events/el-super-tene"
