Movie,Date,Time,Tickets
LONESOME,"Friday, February 6",12:30,https://my.filmforum.org/events/lonesome
LONESOME,"Monday, February 16",2:10,https://my.filmforum.org/events/lonesome
LONESOME,"Monday, February 23",5:35,https://my.filmforum.org/events/lonesome
TAXI!,"Friday, February 6",2:10,https://my.filmforum.org/events/taxi
TAXI!,"Sunday, February 8",2:50,https://my.filmforum.org/events/taxi
TAXI!,"Monday, February 16",12:30,https://my.filmforum.org/events/taxi
HESTER STREET,"Friday, February 6",4:10,https://my.filmforum.org/events/hester-street-tene
HESTER STREET,"Monday, February 9",7:50,https://my.filmforum.org/events/hester-street-tene
HESTER STREET,"Friday, February 13",5:50,https://my.filmforum.org/events/hester-street-tene
HESTER STREET,"Wednesday, February 18",12:20,https://my.filmforum.org/events/hester-street-tene
HESTER STREET,"Thursday, February 19",2:20,https://my.filmforum.org/events/hester-street-tene
STREET SCENE,"Friday, February 6",6:10,https://my.filmforum.org/events/street-scene
STREET SCENE,"Saturday, February 7",2:10,https://my.filmforum.org/events/street-scene
THE WINDOW,"Friday, February 6",8:00,https://my.filmforum.org/events/the-window-tene
THE WINDOW,"Saturday, February 7",4:00,https://my.filmforum.org/events/the-window-tene
THE WINDOW,"Monday, February 9",4:30,https://my.filmforum.org/events/the-window-tene
THREE ON A MATCH,"Saturday, February 7",12:40,https://my.filmforum.org/events/three-on-a-match
THREE ON A MATCH,"Sunday, February 8",4:30,https://my.filmforum.org/events/three-on-a-match
THREE ON A MATCH,"Monday, February 9",12:30,https://my.filmforum.org/events/three-on-a-match
ITALIANAMERICAN,"Saturday, February 7",5:40,https://my.filmforum.org/events/italianamerican-tene
ITALIANAMERICAN,"Friday, February 20",12:30,https://my.filmforum.org/events/italianamerican-tene
MEAN STREETS,"Saturday, February 7",7:10,https://my.filmforum.org/events/mean-streets-tene
MEAN STREETS,"Monday, February 9",2:00,https://my.filmforum.org/events/mean-streets-tene
MEAN STREETS,"Friday, February 13",3:20,https://my.filmforum.org/events/mean-streets-tene
HEAVY TRAFFIC,"Saturday, February 7",9:40,https://my.filmforum.org/events/heavy-traffic
HEAVY TRAFFIC,"Thursday, February 19",9:10,https://my.filmforum.org/events/heavy-traffic
THE KID,"Sunday, February 8",11:00 – FF Jr.,https://my.filmforum.org/the-kid-ffjr
APPLAUSE,"Sunday, February 8",1:00,https://my.filmforum.org/events/applause-tene
APPLAUSE,"Wednesday, February 11",12:30,https://my.filmforum.org/events/applause-tene
DEAD END,"Sunday, February 8",6:00,https://my.filmforum.org/events/dead-end
DEAD END,"Tuesday, February 10",4:00,https://my.filmforum.org/events/dead-end
MIXED BLOOD,"Sunday, February 8",8:40,https://my.filmforum.org/events/mixed-blood
TWO SECONDS,"Monday, February 9",6:10,https://my.filmforum.org/events/two-seconds
TWO SECONDS,"Tuesday, February 10",2:20,https://my.filmforum.org/events/two-seconds
TWO SECONDS,"Wednesday, February 11",2:20,https://my.filmforum.org/events/two-seconds
EL SUPER,"Tuesday, February 10",12:20,https://my.filmforum.org/events/el-super-tene
EL SUPER,"Wednesday, February 11",5:50,https://my.filmforum.org/events/el-super-tene
THE HEART OF NEW YORK,"Tuesday, February 10",6:00,https://my.filmforum.org/events/the-heart-of-new-york
THE HEART OF NEW YORK,"Wednesday, February 11",4:00,https://my.filmforum.org/events/the-heart-of-new-york
HUMORESQUE,"Tuesday, February 10",7:40,https://my.filmforum.org/events/humoresque-tene
SOMETHING WILD,"Wednesday, February 11",8:30,https://my.filmforum.org/events/something-wild
SOMETHING WILD,"Thursday, February 12",3:30,https://my.filmforum.org/events/something-wild
SOMETHING WILD,"Friday, February 13",1:00,https://my.filmforum.org/events/something-wild
THE NAKED CITY,"Thursday, February 12",12:50,https://my.filmforum.org/events/the-naked-city-tene
THE NAKED CITY,"Wednesday, February 18",8:10,https://my.filmforum.org/events/the-naked-city-tene
HUNGRY HEARTS,"Thursday, February 12",6:00,https://my.filmforum.org/events/hungry-hearts
FROWNLAND,"Friday, February 13",8:30,https://my.filmforum.org/events/frownland
RAFTER ROMANCE,"Saturday, February 14",12:30,https://my.filmforum.org/events/rafter-romance
RAFTER ROMANCE,"Tuesday, February 17",2:40,https://my.filmforum.org/events/rafter-romance
